ticker,title,date,content,url,sentiment
V,BTS V’s father also dreamed of being an entertainer: “I’m the only one who made it” (‘Fairy Jae-hyung’) - 매일경제,2026-03-29 23:52:26,"V of BTS (Bangtan Boys) shared that he fulfilled the dream his father once had. On the 29th, singer Jung Jae-hyung’s YouTube channel “Fairy Jae-hyung” posted a video titled “Hello, this is BTS’s V. Please take good care of me!” In the video, V drew attention when he revealed that his father had also dreamed of becoming an entertainer. He said, “Back then, my dad said he wanted to become a TV actor. He even worked as a floor director at Daegu Munhwa Broadcasting Corporation (Daegu MBC). He dreamed of being in show business and thought, ‘If I work at a broadcasting station, it’ll work out,’ but it didn’t for him. I’m the one for whom it did work out,” making everyone laugh. He went on, “After I graduated from elementary school and was about to enter middle school, I told my dad, ‘I want to turn my dream into reality,’ and he told me to learn an instrument and apply to an arts high school. When we checked the competition rate, saxophone was three to one, so I chose saxophone. I ended up learning it for four years.” However, he ultimately failed the entrance exam for the arts high school. Later, V said he passed an audition at Big Hit Music that he had gone to only because a friend was attending. “I said I was just there to watch, but I ended up auditioning too,” he recalled. “I did rap, beatboxing, and even saxophone. I guess they just found me a bit intriguing. I wasn’t actually good at anything, but I pretended I was,” he added, drawing more laughter as he described the moment. BTS, the group V belongs to, released their fifth full-length album “Arirang” on the 20th and are currently promoting it actively. This article has been translated by GripLabs Mingo AI. ※ This article was translated using AI technology for reader convenience. Maeil Business(MK) provides these translations ""as they are"" and makes no warranties of any kind, either
explicitly or implicitly, regarding accuracy, reliability and marketability, suitability for a particular purpose,
etc. of translation.
Please be informed that the content provided may not be translated accurately due to limitations in machine
translation before using this service. Copyright (c) 매경AX. Maeil Business News Korea & mk.co.kr, All rights reserved.
Prohibition of unauthorized reproduction, redistribution, and use of AI learning",https://www.mk.co.kr/en/musics/12001941,Neutral
V,Mullins Madness! Freshman's 35-footer gives UConn a 73-72 win over Duke and a Final Four spot - NBC Connecticut,2026-03-29 23:45:26,"WASHINGTON, DC – MARCH 29: Braylon Mullins #24 of the UConn Huskies celebrates after shooting a three point basket during the second half of a game against the Duke Blue Devils in the Elite Eight of the 2026 NCAA Men’s Basketball Tournament at Capital One Arena on March 29, 2026 in Washington, DC.  (Photo by Patrick Smith/Getty Images) Braylon Mullins sank a desperation 3-pointer with 0.4 seconds left to give UConn an astonishing 73-72 victory over top-seeded Duke on Sunday, earning the Huskies a spot in the Final Four after they rallied from a 19-point first-half deficit. The Blue Devils (35-3) led by three before UConn's Silas Demary Jr. made one of two free throws with 10 seconds left. With Duke playing keep-away to prevent the Huskies from fouling, Cayden Boozer's pass near midcourt was deflected by Demary, and after UConn came up with the ball, Mullins swished a 3 from 35 feet away. Stream Connecticut News for free, 24/7, wherever you are. It's the second straight season to end in a huge collapse for Duke, which was the top overall seed in this year's tournament. The Blue Devils led by six with 1:14 remaining before falling to Houston in last year's national semifinals. UConn (33-5) missed 17 of its first 18 attempts from 3-point range and finished 5 for 23. The fifth will be remembered in Connecticut for generations. The Huskies are trying to win a national title for the third time in four seasons, a feat that hasn't been accomplished since UCLA in the 1970s. UConn now faces third-seeded Illinois in Saturday's semifinal in Indianapolis. To get there, the Huskies needed one of the biggest comebacks in regional final history. Only Louisville, which came from 20 down to beat West Virginia in 2005, had a bigger one. Duke led 44-25 late in the first half and 44-29 at the break. That's now the largest halftime lead in tournament history blown by a No. 1 seed. Cameron Boozer, who had 27 points for the Blue Devils, fought his way to a basket inside with 28.9 seconds to play, and the next UConn possession used precious time before Demary was fouled. After he made one of two, the inbound came to Cameron Boozer, who passed out of a double team to Dame Sarr, who then found Cameron's twin brother, Cayden, in the middle of the could. Instead of waiting to be fouled, Cayden Boozer — who shoots about 81% from the line — tried for one more pass. There were two Duke players alone behind the UConn defense, but Demary was able to deflect the ball and Mullins recovered it near midcourt. He passed to Alex Karaban, who gave it back to Mullins. The freshman was in rhythm, but about halfway between the 3-point arc and half court. It’ll go down alongside the great NCAA Tournament game-winning shots, next to Christian Laettner’s for Duke in the 1992 Elite Eight against Kentucky. Or Laettner’s shot in the 1990 regional final — which turned another Duke-UConn classic from a loss into a win for the Blue Devils. UConn has now won 18 consecutive games in the Sweet 16 or subsequent rounds. The last loss for the Huskies in those stages of the tournament came against Michigan State in the 2009 Final Four. For all the success Duke has had through the years, the Blue Devils have now had hearts broken by UConn three straight times in the Big Dance. The Huskies beat one of Duke's greatest teams in the 1999 title game and rallied late to beat the Blue Devils in the 2004 semifinals. This one was a gut punch very much on par with those. Tarris Reed Jr. led UConn with 26 points, and for a while he had little help offensively. The Huskies gradually cut into their deficit in the second half, though, and a 3 by Karaban pulled them within one with under a minute left. UConn: The Huskies have met Illinois in the NCAA Tournament once. UConn won 77-52 in the Elite Eight in 2024. Duke: The Blue Devils are expected to lose Cameron Boozer to the NBA. AP March Madness bracket: https://apnews.com/hub/ncaa-mens-bracket and coverage: https://apnews.com/hub/march-madness When you interact with us or our services, we may disclose personal information to third parties, partners, and NBCUniversal’s Related Businesses as described in our Privacy Policy. Some of this activity may be considered a ""sale"" or ""share” under applicable law (residents of applicable states can learn more here).  To opt out of such “sale” or “sharing,” follow the steps below.  Opting out will also prevent the processing of your personal information for targeted ads. Please note: Opting out will also prevent disclosure of personal information to our Related Businesses (except as necessary for the provision of services or when you permit to such disclosure). You will still see ads, but they may be less relevant or based only on our first-party information about you. Your choices related to cookies and device identifiers will apply to devices accessed with your logged in account if you opt out (or opt back in) when you are logged in.  If you are not logged in, your choice will only apply to this browser, and you will need to renew this choice on each browser or device where you want your choice to apply or if you clear your browser cookies. Please see our Cookie Notice for more details which can be found by navigating to the Privacy Policy in the menu settings page. Resident of the states listed in the 'Your Rights' section of our Privacy Policy Only:  To opt out of the “sale” or “sharing” of Personal Information such as cookies and device identifiers, switch this toggle to off (grey color) by moving it left and clicking “Confirm My Choice” below. (This will close this dialogue box, so please open the Opt-Out Form first).   ALL OTHER LOCATIONS: If we do not detect that you are in one of the states listed in 'Your Rights' section of our Privacy Policy, we cannot ensure this choice will be honored by all third parties even if you toggle this button off. You can change your precise geolocation permissions for our mobile apps in your mobile device settings. To opt out of the “sale” or “sharing” of your contact information such as name, email address and other associated personal information, please complete this Opt-Out Form. This will also prevent the processing of such personal information for targeted ads.",https://www.nbcconnecticut.com/news/sports/ncaab/uconn-stuns-duke-with-epic-comeback-and-last-second-3-pointer/3719507/,Neutral
V,🚨 Pasto v Atlético Nacional line-ups are in - OneFootball,2026-03-29 22:56:55,"Get the full live experience with the OneFootball app. Battle for the top spot! Atlético Nacional visits Pasto to defend first place in the Liga BetPlay. In this matchup, the home side will look to take all three points from Verdolaga to overtake them in the standings, with both teams on 27 points and separated only by goal difference. This article was translated into English by Artificial Intelligence. You can read the original version in 🇪🇸 here. Standout star's double powers Athletico Paranaense past Botafogo ⚠️Confidence crisis in Medellín: Eduard Bello stalls at Nacional Rodri ‘open to’ Real Madrid move despite Atlético past 💥Preview talking points: Nacional take on Cruz Azul ✉️ Nicolás Rodríguez's response after the allegation United States ‘facing human rights emergency’ ahead of World Cup says Amnesty International Amnesty International says the United States is “facing a human rights emergency” in a new report on the 2026 World Cup, describing the US Immigration and Customs Enforcement (ICE) as... France's deep talent pool downs Colombia in box-office clash We brought you all the action on Sunday as France faced Colombia. Here is what went down.
		
	Who impressed you from the game? Let us know in the comments below. We'll see... Matchgoing Premier League fans overwhelmingly against VAR – survey Three-quarters of Premier League fans are against the use of VAR, a survey by the Football Supporters’ Association has found.Nearly 8,000 supporters, just over half of whom attend more than... OneFootball is proud to partner with Yahoo! Sports to deliver quality football content to fans in USA and Canada. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information. Third party trackers collect information to use for analytics and to personalize your experience with targeted ads. Under the Colorado CPA, the Virginia CDPA, the Texas DPSA, the Oregon CPA, the Montana CDPA, and the Florida DBR, you have the right to opt-out of the sale of your personal data to third parties, of targeted advertising related processing, and of some types of profiling. You may exercise your rights by using the toggles below. If you opt out, the ads and content that you see may not be as relevant to you. Under the Colorado CPA, you have the right to opt back in to these categories at any time should you initially choose to opt out, and you may do so using the same toggles provided below. For more details on the data we process and how to exercise your rights, and to view information related to required opt-in disclosures, see our Privacy Policy These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance.",https://onefootball.com/en/news/pasto-v-atletico-nacional-line-ups-are-in-42633746,Neutral
V,🚨 Pasto v Atlético Nacional line-ups are in - Yahoo Sports,2026-03-29 22:47:00,"Battle for the top spot! Atlético Nacional visits Pasto to defend first place in the Liga BetPlay. In this matchup, the home side will look to take all three points from Verdolaga to overtake them in the standings, with both teams on 27 points and separated only by goal difference. This article was translated into English by Artificial Intelligence. You can read the original version in 🇪🇸 here.",https://sports.yahoo.com/articles/pasto-v-atl-tico-nacional-224700271.html,Neutral
V,BTS' V Calls J-Hope Group's Military-Style Leader - 조선일보,2026-03-29 21:39:32,"V highlights J-Hope's leadership ahead of March 20 comeback, noting age challenges [OSEN=Kim Chae-yeon Reporter] BTS member V mentioned J-Hope as the group’s military-style leader. On the 29th, a new video titled “Hello, this is BTS’ V. Please take care of me!” was released on the YouTube channel “Fairy Jaehyung.” That day, V said, “We’ve been practicing for two months now, and I think we’re ready to go out now. Since our comeback is on March 20th, we’ll keep practicing until then.” When Jung Jaehyung asked, “Who is the strictest when practicing?” V replied, “J-Hope hyung, he’s really strict. All of us now have birth years starting with ‘3’ [1990s]. So when we turned 30, our physical recovery was slower than expected.” As Jung Jaehyung glared and said, “Why is he like that?” V quickly apologized, “I’m sorry. We’re still energetic, and we don’t know what hardship is yet.” However, V added, “But dancing in your 20s and 30s is completely different. Everyone gets tired easily, but whenever J-Hope hyung says, ‘Let’s do it,’ even though he’s also tired, he sets the mood first. We just follow.”",https://www.chosun.com/english/kpop-culture-en/2026/03/30/CH4ABA4UINCSROB4XXIGCM7BLY/,Neutral
V,"BTS V Bulks Up to 80kg in Military, Members Joke About Retirement - 조선일보",2026-03-29 21:29:16,"[OSEN, Kim Chae-yeon, reporter] BTS member V has revealed why he volunteered for and served in the Military Police Special Duty Unit (SDT). On the 29th, a new video titled “Hello, this is BTS V. Nice to meet you!” was uploaded to the YouTube channel “Fairy Jaehyung.” In the video, V answered questions about his military service, stating, “I served in the special unit. It’s called SDT, and we handle a lot of internal suppression. We engage in close combat and learn a lot of martial arts.” When asked why he joined SDT, he explained, “I didn’t want my brain to be strained if I was going to serve. I wanted my body to be strained. The training was tough, but it was a place where I could receive great training. I did repelling and overcame my fear of heights.” This led to successful bulking up. He said, “I wanted to keep my promise. I had promised my fans I’d return healthier, so I worked really hard.” V later shared, “After being discharged, I talked to the members, and when they saw me, they said, ‘Are you planning to retire now? Okay, retire.’ So I denied it.” Meanwhile, V entered the military at 61 kg but gained weight to 80 kg during his service. He later confessed to successfully dieting down to 67 kg.",https://www.chosun.com/english/kpop-culture-en/2026/03/30/52WQHBRYHNG7XP3ZLO6S7YJ4MI/,Neutral
V,"BTS V builds muscle in SDT, gains to 80kg then trims to 67kg - CHOSUNBIZ - Chosunbiz",2026-03-29 21:29:00,"Group BTS V explained why he applied for and served in the military police special duty team (SDT). On the 29th, a new video titled Hello, BTS V here. Please take care of me! was released on the YouTube channel ""Yojung Jaehyung."" That day V, answering questions about his military service, said, ""I joined the special duty unit. It's called SDT; they do a lot of internal suppression. We did a lot of close combat and learned a lot of martial arts."" About why he applied to SDT, he confessed, ""If I was going anyway, I didn't want my brain to be strained. I wanted my body to be strained. The training is tough, but it's a place where you can receive cool training, so I did a lot. I did rappelling and overcame my fear of heights."" He said this also led to successful bulking. He said, ""I wanted to keep my promise. I had promised the fans I'd come out healthier, so I really worked hard."" V went on, ""But after I was discharged I talked with the members, and at the reunion after such a long time they saw me and said, 'Are you retiring now? Retirement OK.' So I took it out,"" he confessed. Meanwhile, BTS V said he enlisted at 61kg but increased his weight to as much as 80kg during his service. He later confessed he successfully dieted down to 67kg.< We use cookies to enhance your experience and analyze traffic. By continuing to       browse this site, you agree to our use of cookies.       Learn More",https://biz.chosun.com/en/en-entertainment/2026/03/30/22EJPD25PNDYJOMUM66KVUNVEM/,Neutral
V,"BTS V names J‑Hope strictest, says members follow orders - CHOSUNBIZ - Chosunbiz",2026-03-29 21:28:00,"Group BTS member V mentioned J-Hope as the group's disciplinarian. On the 29th, a new video titled Hello, this is BTS V (V). Please take care of me! was released on the YouTube channel ""Yeojeong Jae-hyung."" That day V said he was in the middle of practicing ahead of the comeback and said, ""I'm now two months into practice, and I think I could go out now. Since the comeback is on March 20, until then we'll just keep practicing."" Jung Jae-hyung asked, ""Who is the strictest when practicing?"" and V replied, ""Hob hyung, that hyung is really strict. All of us in the front are in our 30s now. Because of that, when we reach thirty, recovery of stamina is slower than expected,"" he lamented. When Jung Jae-hyung glared and said, ""What's with that?"" V quickly smoothed things over, saying, ""I'm sorry. I'm still spry and don't know what being tired is yet."" However, V confessed, ""But the dances in your 20s and the dances in your 30s are so different. So everyone tends to slump easily, but Hob hyung, even though he is tired too, first picks up the mood. When he says, 'Let's do it,' we just do it.""< We use cookies to enhance your experience and analyze traffic. By continuing to       browse this site, you agree to our use of cookies.       Learn More",https://biz.chosun.com/en/en-entertainment/2026/03/30/H7NARJLZRRG3XDKZAZOHYQ6P2M/,Neutral
V,"France are a force to be reckoned with: a 3-1 win over Colombia with a reserve side, a brace from Doué and a goal from Thuram - Goal.com",2026-03-29 21:03:48,"A crucial test for both teams: the French come out on top France have won again, making it two out of two in this series of friendly matches in preparation for the 2026 World Cup: in the US, having beaten Brazil 2–1, Les Bleus thrashed Colombia 3–1, with Deschamps fielding a number of reserve players who delivered some crucial performances. It was a thrilling match right from the opening minutes, with several heated moments on the pitch. Doué broke the deadlock on the half-hour mark with a long-range shot that was deflected by Munoz past Montero. In the 41st minute, Marcus Thuram, the Inter striker who hadn’t scored for the national team since 2023, found the net with a fine header from Akliouche’s cross from the right, aided by the goalkeeper’s misjudged rush off his line. In the second half, Doué completed his brace from an assist by Thuram himself, followed by substitutions for both sides; one of the substitutes, Campaz, scored a consolation goal for the Cafeteros in the 77th minute. In stoppage time, a goal by Mbappé was ruled out for offside. GOALS: 30' Doué (F), 41' Thuram (F), 56' Doué (F), 77' Campaz (C) COLOMBIA (4-2-3-1): Montero; Muñoz, Sánchez, Cabal, Mojica (63' Machado); Ríos (46' Puerta), Lerma; Arias (46' Gómez), Rodríguez (63' Quintero), Díaz (63' Campaz); Suárez (46' Córdoba). Manager: Nestor Lorenzo. FRANCE (4-2-3-1): Samba; Kalulu, Lacroix, Hernandez, Digne; Zaire-Emery (64' Camavinga), Kanté; Akliouche (64' Kolo Muani), Cherki (78' Olise), Doué (63' Ekitike); Thuram (78' Mbappé). Manager: Didier Deschamps. BOOKINGS: Thuram (F), Doué (F), Puerta (C), Camavinga (F) Add GOAL.com as a preferred source on Google to see more of our reporting",https://www.goal.com/en/lists/france-are-a-force-to-be-reckoned-with-a-3-1-win-over-colombia-with-a-reserve-side-a-brace-from-doue-and-a-goal-from-thuram/bltf8eb8914b7d04475,Neutral
V,OSU vs. NW MTEN 32926 | Photo Galleries - Ohio State | Official Athletics Website,2026-03-29 20:54:35,The use of software that blocks ads hinders our ability to serve you the content you came here to enjoy. We ask that you consider turning off your ad blocker so we can deliver you the best experience possible while you are here.,https://ohiostatebuckeyes.com/galleries/mens-tennis/osu-v-nw-mten-32926/osu-vs-nw-mten-32926/3746/298097,Neutral
